ID,Band0,Band1,Band2,Class
1,15.0,33.0,45.0,0
2,16.0,33.0,49.0,0
3,12.0,29.0,49.0,0
4,16.0,32.0,57.0,0
5,10.0,27.0,53.0,0
6,10.0,27.0,57.0,0
7,13.0,29.0,62.0,0
8,15.0,31.0,67.0,0
9,13.0,30.0,46.0,0
10,12.0,30.0,50.0,0
11,12.0,30.0,52.0,0
12,10.0,27.0,53.0,0
13,10.0,27.0,55.0,0
14,15.0,31.0,64.0,0
15,10.0,29.0,62.0,0
16,7.0,25.0,63.0,0
17,15.0,32.0,52.0,0
18,10.0,28.0,50.0,0
19,14.0,32.0,56.0,0
20,6.0,26.0,53.0,0
21,10.0,29.0,59.0,0
22,11.0,30.0,63.0,0
23,10.0,28.0,64.0,0
24,9.0,27.0,65.0,0
25,10.0,26.0,49.0,0
26,11.0,29.0,53.0,0
27,8.0,25.0,51.0,0
28,11.0,30.0,60.0,0
29,11.0,30.0,62.0,0
30,10.0,28.0,64.0,0
31,5.0,23.0,61.0,0
32,8.0,27.0,67.0,0
33,15.0,31.0,57.0,0
34,14.0,30.0,56.0,0
35,17.0,32.0,61.0,0
36,15.0,31.0,64.0,0
37,6.0,25.0,58.0,0
38,14.0,32.0,70.0,0
39,4.0,23.0,63.0,0
40,9.0,28.0,68.0,0
41,10.0,25.0,54.0,0
42,18.0,33.0,62.0,0
43,11.0,28.0,58.0,0
44,11.0,27.0,61.0,0
45,10.0,28.0,64.0,0
46,2.0,22.0,59.0,0
47,9.0,28.0,68.0,0
48,15.0,34.0,74.0,0
49,12.0,27.0,60.0,0
50,8.0,24.0,57.0,0
51,9.0,25.0,59.0,0
52,7.0,25.0,63.0,0
53,11.0,31.0,68.0,0
54,11.0,30.0,70.0,0
55,14.0,36.0,75.0,0
56,15.0,35.0,72.0,0
57,9.0,25.0,59.0,0
58,13.0,29.0,63.0,0
59,12.0,30.0,66.0,0
60,12.0,32.0,69.0,0
61,12.0,31.0,71.0,0
62,12.0,34.0,73.0,0
63,14.0,36.0,73.0,0
64,15.0,35.0,68.0,0
65,18.0,33.0,72.0,0
66,16.0,31.0,70.0,0
67,15.0,33.0,71.0,0
68,15.0,34.0,74.0,0
69,16.0,35.0,75.0,0
70,14.0,36.0,73.0,0
71,8.0,31.0,65.0,0
72,12.0,31.0,63.0,0
73,9.0,18.0,17.0,0
74,15.0,24.0,23.0,0
75,8.0,17.0,16.0,0
76,11.0,20.0,19.0,0
77,12.0,18.0,18.0,0
78,16.0,22.0,22.0,0
79,7.0,16.0,15.0,0
80,15.0,24.0,23.0,0
81,12.0,21.0,20.0,0
82,12.0,21.0,20.0,0
83,12.0,18.0,18.0,0
84,14.0,20.0,20.0,0
85,11.0,20.0,19.0,0
86,11.0,20.0,19.0,0
87,11.0,20.0,19.0,0
88,13.0,22.0,21.0,0
89,12.0,21.0,20.0,0
90,9.0,18.0,17.0,0
91,10.0,19.0,18.0,0
92,12.0,21.0,20.0,0
93,11.0,20.0,19.0,0
94,11.0,20.0,19.0,0
95,12.0,21.0,20.0,0
96,10.0,19.0,18.0,0
