ID,Band0,Band1,Band2,Class
1,14.0,23.0,22.0,0
2,9.0,18.0,17.0,0
3,11.0,21.0,20.0,0
4,8.0,18.0,17.0,0
5,12.0,21.0,20.0,0
6,9.0,18.0,17.0,0
7,10.0,19.0,18.0,0
8,13.0,22.0,21.0,0
9,11.0,20.0,19.0,0
10,11.0,20.0,19.0,0
11,12.0,21.0,20.0,0
12,13.0,22.0,21.0,0
13,12.0,21.0,20.0,0
14,9.0,18.0,17.0,0
15,13.0,22.0,21.0,0
16,9.0,18.0,17.0,0
17,11.0,21.0,20.0,0
18,10.0,20.0,19.0,0
19,10.0,20.0,19.0,0
20,9.0,19.0,18.0,0
21,8.0,18.0,17.0,0
22,8.0,18.0,17.0,0
23,13.0,22.0,21.0,0
24,11.0,20.0,19.0,0
25,10.0,19.0,18.0,0
26,13.0,22.0,21.0,0
27,8.0,18.0,17.0,0
28,10.0,20.0,19.0,0
29,8.0,18.0,17.0,0
30,12.0,22.0,21.0,0
31,7.0,17.0,18.0,0
32,9.0,19.0,20.0,0
33,9.0,19.0,20.0,0
34,9.0,19.0,20.0,0
35,9.0,19.0,18.0,0
36,6.0,16.0,15.0,0
37,10.0,20.0,19.0,0
38,9.0,19.0,18.0,0
39,10.0,20.0,21.0,0
40,8.0,18.0,19.0,0
41,10.0,20.0,21.0,0
42,6.0,16.0,17.0,0
43,9.0,19.0,18.0,0
44,12.0,22.0,21.0,0
45,12.0,22.0,21.0,0
46,7.0,17.0,16.0,0
47,11.0,21.0,20.0,0
48,7.0,17.0,16.0,0
49,14.0,24.0,23.0,0
50,9.0,19.0,18.0,0
51,8.0,18.0,17.0,0
52,8.0,18.0,17.0,0
53,9.0,19.0,18.0,0
54,10.0,20.0,19.0,0
55,9.0,19.0,20.0,0
56,10.0,20.0,21.0,0
57,7.0,17.0,16.0,0
58,10.0,20.0,19.0,0
59,8.0,18.0,17.0,0
60,10.0,20.0,19.0,0
61,11.0,20.0,19.0,0
62,11.0,20.0,19.0,0
63,9.0,19.0,18.0,0
64,8.0,18.0,17.0,0
65,10.0,20.0,19.0,0
66,9.0,19.0,18.0,0
67,8.0,17.0,16.0,0
68,10.0,19.0,18.0,0
69,15.0,24.0,23.0,0
70,12.0,21.0,20.0,0
71,12.0,21.0,20.0,0
72,13.0,22.0,21.0,0
73,9.0,18.0,17.0,0
74,14.0,23.0,22.0,0
75,10.0,19.0,16.0,0
76,14.0,23.0,20.0,0
77,14.0,23.0,20.0,0
78,9.0,18.0,15.0,0
79,10.0,19.0,18.0,0
80,10.0,19.0,18.0,0
81,10.0,19.0,18.0,0
82,11.0,20.0,19.0,0
83,13.0,22.0,21.0,0
84,10.0,20.0,19.0,0
85,9.0,19.0,18.0,0
86,12.0,21.0,20.0,0
87,13.0,22.0,21.0,0
88,10.0,19.0,18.0,0
89,11.0,20.0,19.0,0
90,12.0,21.0,20.0,0
91,12.0,21.0,20.0,0
92,11.0,20.0,19.0,0
93,10.0,19.0,18.0,0
94,9.0,18.0,17.0,0
95,10.0,19.0,18.0,0
96,11.0,20.0,19.0,0
97,13.0,22.0,21.0,0
98,8.0,18.0,17.0,0
99,8.0,18.0,17.0,0
100,10.0,20.0,19.0,0
101,13.0,23.0,22.0,0
102,8.0,18.0,17.0,0
103,12.0,22.0,21.0,0
104,10.0,19.0,18.0,0
105,9.0,18.0,17.0,0
106,12.0,21.0,20.0,0
107,7.0,16.0,15.0,0
108,12.0,22.0,21.0,0
109,9.0,19.0,18.0,0
110,11.0,21.0,20.0,0
111,9.0,19.0,18.0,0
112,10.0,20.0,21.0,0
113,8.0,18.0,19.0,0
